"No.","Time","Source","Destination","Protocol","Length","Info"
"73","10.715404","192.168.1.3","224.0.0.251","MDNS","578","Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question TXT Google-Home-Mini-d32bc91b75e125ead80a59ba121b2e34._googlecast._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 94dc0821._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR Google-Home-Mini-d32bc91b75e125ead80a59ba121b2e34._googlecast._tcp.local PTR Massage Chair._companion-link._tcp.local PTR BRoom._companion-link._tcp.local PTR Hans Gruber._companion-link._tcp.local OPT"
"74","10.715474","192.168.1.3","224.0.0.251","MDNS","146","Standard query response 0x0000 PTR _companion-link._tcp.local OPT"
"75","10.779562","40.97.161.50","192.168.1.3","TLSv1.2","98","Application Data"
"76","10.779568","40.97.119.178","192.168.1.3","TLSv1.2","98","Application Data"
"77","10.779685","192.168.1.3","40.97.161.50","TCP","54","54975  >  443 [ACK] Seq=1 Ack=45 Win=4095 Len=0"
"78","10.779685","192.168.1.3","40.97.119.178","TCP","54","53915  >  443 [ACK] Seq=1 Ack=45 Win=4095 Len=0"
"79","11.060416","192.168.1.11","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 d32bc91b-75e1-25ea-d80a-59ba121b2e34.local"
"80","11.472217","192.168.1.3","224.0.0.251","MDNS","404","Standard query response 0x0000 TXT, cache flush PTR Hans Gruber._companion-link._tcp.local TXT SRV, cache flush 0 0 53591 Hans-Gruber.local A, cache flush 192.168.1.3 NSEC, cache flush Hans Gruber._companion-link._tcp.local NSEC, cache flush Hans-Gruber.local OPT"
"81","12.092173","192.168.1.3","172.217.3.165","TCP","54","53062  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"82","12.116905","172.217.3.165","192.168.1.3","TCP","66","[TCP ACKed unseen segment] 443  >  53062 [ACK] Seq=1 Ack=2 Win=1050 Len=0 TSval=26200383 TSecr=1877811944"
"83","12.287494","SamsungE_a3:ec:d0","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.21"
"84","12.502530","192.168.1.3","172.217.3.174","UDP","1392","65371  >  443 Len=1350"
"85","12.502556","192.168.1.3","172.217.3.174","UDP","532","65371  >  443 Len=490"
"86","12.534963","172.217.3.174","192.168.1.3","UDP","68","443  >  65371 Len=26"
"87","12.540738","172.217.3.174","192.168.1.3","UDP","699","443  >  65371 Len=657"
"88","12.544220","192.168.1.3","172.217.3.174","UDP","75","65371  >  443 Len=33"
"89","12.702109","172.217.3.174","192.168.1.3","UDP","78","443  >  65371 Len=36"
"90","12.705813","192.168.1.3","172.217.3.174","UDP","75","65371  >  443 Len=33"
"91","12.718042","192.168.1.3","224.0.0.251","MDNS","441","Standard query response 0x0000 TXT, cache flush PTR _companion-link._tcp.local PTR Hans Gruber._companion-link._tcp.local TXT SRV, cache flush 0 0 53591 Hans-Gruber.local A, cache flush 192.168.1.3 NSEC, cache flush Hans Gruber._companion-link._tcp.local NSEC, cache flush Hans-Gruber.local OPT"
"92","12.949362","Apple_7e:1e:d4","Broadcast","ARP","42","Who has 192.168.1.9? Tell 192.168.1.3"
"93","12.981211","192.168.1.3","192.168.1.11","TCP","176","53628  >  8009 [PSH, ACK] Seq=221 Ack=221 Win=2048 Len=110 TSval=1877948073 TSecr=5244228 [TCP segment of a reassembled PDU]"
